Title,URL,Abstract,Study type,Single arm/treatment Exclusion,Protocol only,Observational study,Treatment,Comparator 1,Comparator 2,Comparator 3,Population,Primary outcome,
The final day of follow-up was December 31, 2013.
Exposures: Enrolled participants had been randomized to FSG or usual care.
Participants who underwent FSG and had abnormal findings were referred for
follow-up. Subsequent colonoscopy findings were categorized as advanced adenoma
(_1 cm, high-grade dysplasia, or tubulovillous or villous histology), nonadvanced
adenoma (<1 cm without advanced histology), or no adenoma.
Main Outcomes and Measures: The primary outcome was CRC incidence within 15 years
of the baseline colonoscopy. The secondary outcome was CRC mortality.
Results: There were 15_935 participants who underwent colonoscopy (men, 59.7%;
white, 90.7%; median age, 64 y [IQR, 61-68]). On initial colonoscopy, 2882
participants (18.1%) had an advanced adenoma, 5068 participants (31.8%) had a
nonadvanced adenoma, and 7985 participants (50.1%) had no adenoma; median
follow-up for CRC incidence was 12.9 years. CRC incidence rates per 10_000
person-years of observation were 20.0 (95% CI, 15.3-24.7; n_=_70) for advanced
adenoma, 9.1 (95% CI, 6.7-11.5; n_=_55) for nonadvanced adenoma, and 7.5 (95% CI,
5.8-9.7; n_=_71) for no adenoma. Participants with advanced adenoma were
significantly more likely to develop CRC compared with participants with no
adenoma (rate ratio [RR], 2.7 [95% CI, 1.9-3.7]; P_<_.001). There was no
significant difference in CRC risk between participants with nonadvanced adenoma 
compared with no adenoma (RR, 1.2 [95% CI, 0.8-1.7]; P_=_.30). Compared with
participants with no adenoma, those with advanced adenoma were at significantly
increased risk of CRC death (RR, 2.6 [95% CI, 1.2-5.7], P_=_.01), but mortality
risk in participants with nonadvanced adenoma was not significantly different
(RR, 1.2 [95% CI, 0.5-2.7], P_=_.68).
Conclusions and Relevance: Over a median of 13 years of follow-up, participants
with an advanced adenoma at diagnostic colonoscopy prompted by a positive
flexible sigmoidoscopy result were at significantly increased risk of developing 
colorectal cancer compared with those with no adenoma. Identification of
nonadvanced adenoma may not be associated with increased colorectal cancer risk.
Trial Registration: clinicaltrials.gov Identifier: NCT00002540.",N,,,,,,,,Colorectal carcinoma CRC,Colorectal carcinoma CRC  incidence within 15 years,

Early tumor shrinkage served as a prognostic factor for patients with stage III non-small cell lung cancer treated with concurrent chemoradiotherapy.,/pubmed/29742701,"BACKGROUND: Lung cancer is the most common cause of cancer death. About 80% of
patients are diagnosed at stage III in the non-small cell lung cancer (NSCLC). It
is extremely important to understand the progression of this disease which has
low survival times despite the advancing treatment modalities. We aimed to
investigate the relationship between early tumor shrinkage (ETS) after initial
concurrent chemoradiotherapy (C-CRT) and survival outcome in patients with stage 
III (NSCLC).
METHODS: A retrospective review of 103 patients with stage III NSCLC who had
received C-CRT from January 2006 to October 2011 was performed. Patients were
treated with systemic chemotherapy regimen of Cisplatin/Vp-16 and concurrent
thoracic radiotherapy at a median dose of 66 Gy (range 60-70_Gy). All patients
received a computed tomography (CT) examination before treatment. Also
subsequently, chest CT scans were performed with the same imaging parameters at
approximately 5 weeks after the initiation of treatment. ETS is here stratified
by a decrease in tumor size _30% and <30% in the longest dimension of the target 
lesion within 5 weeks.
RESULTS: Of the 103 patients, 59 ones showed a 30% decrease in tumor size, and
the rest displayed a decrease of <30%. ETS showed no significant correlation with
age, T classification, N classification, histological classification, smoking
status, G classification, EGFR status, or acute pulmonary toxicity. In the
current retrospective clinical study, Kaplan-Meier curves showed that patients
with ETS___30% had a better progression-free survival and overall survival. The
univariate and multivariate Cox regression analyses indicated that ETS_<_30% was 
associated with a significantly increased risk of cancer-related death (P_<_.05) 
in stage IIINSCLC.
CONCLUSIONS: ETS may be served as a useful prognostic factor to predict the
outcome of stage III NSCLC patients treated with CCRT.",N,,,,,,,,stage III NSCLC (non-small cell lung cancer),early tumor shrinkage (ETS),

"[A multicenter, large-sample, randomized clinical trial on improving the median survival time of advanced non-small cell lung cancer by combination of Ginseng Rg3 and chemotherapy].",/pubmed/29730918,"Objective: To observe the efficacy of the combination of chemotherapy and Ginseng
Rg3 on advanced non-small cell lung cancer(NSCLC). Methods: In the multi-center, 
large-sample, randomized, double blind trial, 414 patients with _-_ NSCLC were
enrolled.199 were in the experimental group and 215 the control group. The
patients in the experimental group were treated with the standard first-line
chemotherapy combined with Ginseng Rg3. The patients in the control group were
treated with the same chemotherapy combined with placebo. Median overall survival
(OS), Karnofsky performance scale (KPS), Traditional Chinese Medicine (TCM)
symptoms score and side effects of two groups were observed as main indexes.
Results: The median OS were 12.03 months in the experimental group, which was
significantly better than that in the control group (8.46 months, P<0.05).
Hemoglobin and white blood cells were decreased after the first and second cycle 
of treatment in both groups. Both adverse events were significantly milder in the
treatment group (P<0.05). In addition, after two courses of treatment, the KPS of
patients was 78.95±9.14 in the experimental group and 76.77±9.15 in the control
group, while the TCM symptoms score was 2.45±1.73 in the experimental group and
2.92±2.06 in the control group, with significant difference (P<0.05).
Conclusions: Combination of TCM with Western medicine such as chemotherapy could 
prolong the survival of patients with advanced NSCLC. The combined therapy
improved patients' symptoms and reduced chemotherapy induced myelosuppression.",RCT,,,,"standard first-line
chemotherapy combined with Ginseng Rg3",same chemotherapy combined with placebo,,,non-small cell lung cancer,Median overall survival,

Pembrolizumab plus Chemotherapy in Metastatic Non-Small-Cell Lung Cancer.,/pubmed/29658856,"BACKGROUND: First-line therapy for advanced non-small-cell lung cancer (NSCLC)
that lacks targetable mutations is platinum-based chemotherapy. Among patients
with a tumor proportion score for programmed death ligand 1 (PD-L1) of 50% or
greater, pembrolizumab has replaced cytotoxic chemotherapy as the first-line
treatment of choice. The addition of pembrolizumab to chemotherapy resulted in
significantly higher rates of response and longer progression-free survival than 
chemotherapy alone in a phase 2 trial.
METHODS: In this double-blind, phase 3 trial, we randomly assigned (in a 2:1
ratio) 616 patients with metastatic nonsquamous NSCLC without sensitizing EGFR or
ALK mutations who had received no previous treatment for metastatic disease to
receive pemetrexed and a platinum-based drug plus either 200 mg of pembrolizumab 
or placebo every 3 weeks for 4 cycles, followed by pembrolizumab or placebo for
up to a total of 35 cycles plus pemetrexed maintenance therapy. Crossover to
pembrolizumab monotherapy was permitted among the patients in the
placebo-combination group who had verified disease progression. The primary end
points were overall survival and progression-free survival, as assessed by
blinded, independent central radiologic review.
RESULTS: After a median follow-up of 10.5 months, the estimated rate of overall
survival at 12 months was 69.2% (95% confidence interval [CI], 64.1 to 73.8) in
the pembrolizumab-combination group versus 49.4% (95% CI, 42.1 to 56.2) in the
placebo-combination group (hazard ratio for death, 0.49; 95% CI, 0.38 to 0.64;
P<0.001). Improvement in overall survival was seen across all PD-L1 categories
that were evaluated. Median progression-free survival was 8.8 months (95% CI, 7.6
to 9.2) in the pembrolizumab-combination group and 4.9 months (95% CI, 4.7 to
5.5) in the placebo-combination group (hazard ratio for disease progression or
death, 0.52; 95% CI, 0.43 to 0.64; P<0.001). Adverse events of grade 3 or higher 
occurred in 67.2% of the patients in the pembrolizumab-combination group and in
65.8% of those in the placebo-combination group.
CONCLUSIONS: In patients with previously untreated metastatic nonsquamous NSCLC
without EGFR or ALK mutations, the addition of pembrolizumab to standard
chemotherapy of pemetrexed and a platinum-based drug resulted in significantly
longer overall survival and progression-free survival than chemotherapy alone.
(Funded by Merck; KEYNOTE-189 ClinicalTrials.gov number, NCT02578680 .).",RCT,,,,200 mg of pembrolizumab,Placebo,,,"metastatic nonsquamous non-small cell lung cancer without sensitizing EGFR or
ALK mutations",overall survival and progression-free survival,

Neoadjuvant PD-1 Blockade in Resectable Lung Cancer.,/pubmed/29658848,"BACKGROUND: Antibodies that block programmed death 1 (PD-1) protein improve
survival in patients with advanced non-small-cell lung cancer (NSCLC) but have
not been tested in resectable NSCLC, a condition in which little progress has
been made during the past decade.
METHODS: In this pilot study, we administered two preoperative doses of PD-1
inhibitor nivolumab in adults with untreated, surgically resectable early (stage 
I, II, or IIIA) NSCLC. Nivolumab (at a dose of 3 mg per kilogram of body weight) 
was administered intravenously every 2 weeks, with surgery planned approximately 
4 weeks after the first dose. The primary end points of the study were safety and
feasibility. We also evaluated the tumor pathological response, expression of
programmed death ligand 1 (PD-L1), mutational burden, and mutation-associated,
neoantigen-specific T-cell responses.
RESULTS: Neoadjuvant nivolumab had an acceptable side-effect profile and was not 
associated with delays in surgery. Of the 21 tumors that were removed, 20 were
completely resected. A major pathological response occurred in 9 of 20 resected
tumors (45%). Responses occurred in both PD-L1-positive and PD-L1-negative
tumors. There was a significant correlation between the pathological response and
the pretreatment tumor mutational burden. The number of T-cell clones that were
found in both the tumor and peripheral blood increased systemically after PD-1
blockade in eight of nine patients who were evaluated. Mutation-associated,
neoantigen-specific T-cell clones from a primary tumor with a complete response
on pathological assessment rapidly expanded in peripheral blood at 2 to 4 weeks
after treatment; some of these clones were not detected before the administration
of nivolumab.
CONCLUSIONS: Neoadjuvant nivolumab was associated with few side effects, did not 
delay surgery, and induced a major pathological response in 45% of resected
tumors. The tumor mutational burden was predictive of the pathological response
to PD-1 blockade. Treatment induced expansion of mutation-associated,
neoantigen-specific T-cell clones in peripheral blood. (Funded by Cancer Research
Institute-Stand Up 2 Cancer and others; ClinicalTrials.gov number, NCT02259621
.).",N,,,,,,,,,,

Nivolumab plus Ipilimumab in Lung Cancer with a High Tumor Mutational Burden.,/pubmed/29658845,"BACKGROUND: Nivolumab plus ipilimumab showed promising efficacy for the treatment
of non-small-cell lung cancer (NSCLC) in a phase 1 trial, and tumor mutational
burden has emerged as a potential biomarker of benefit. In this part of an
open-label, multipart, phase 3 trial, we examined progression-free survival with 
nivolumab plus ipilimumab versus chemotherapy among patients with a high tumor
mutational burden (_10 mutations per megabase).
METHODS: We enrolled patients with stage IV or recurrent NSCLC that was not
previously treated with chemotherapy. Those with a level of tumor programmed
death ligand 1 (PD-L1) expression of at least 1% were randomly assigned, in a
1:1:1 ratio, to receive nivolumab plus ipilimumab, nivolumab monotherapy, or
chemotherapy; those with a tumor PD-L1 expression level of less than 1% were
randomly assigned, in a 1:1:1 ratio, to receive nivolumab plus ipilimumab,
nivolumab plus chemotherapy, or chemotherapy. Tumor mutational burden was
determined by the FoundationOne CDx assay.
RESULTS: Progression-free survival among patients with a high tumor mutational
burden was significantly longer with nivolumab plus ipilimumab than with
chemotherapy. The 1-year progression-free survival rate was 42.6% with nivolumab 
plus ipilimumab versus 13.2% with chemotherapy, and the median progression-free
survival was 7.2 months (95% confidence interval [CI], 5.5 to 13.2) versus 5.5
months (95% CI, 4.4 to 5.8) (hazard ratio for disease progression or death, 0.58;
97.5% CI, 0.41 to 0.81; P<0.001). The objective response rate was 45.3% with
nivolumab plus ipilimumab and 26.9% with chemotherapy. The benefit of nivolumab
plus ipilimumab over chemotherapy was broadly consistent within subgroups,
including patients with a PD-L1 expression level of at least 1% and those with a 
level of less than 1%. The rate of grade 3 or 4 treatment-related adverse events 
was 31.2% with nivolumab plus ipilimumab and 36.1% with chemotherapy. ical;
CheckMate 227 ClinicalTrials.gov number, NCT02477826 .).
CONCLUSIONS: Progression-free survival was significantly longer with first-line
nivolumab plus ipilimumab than with chemotherapy among patients with NSCLC and a 
high tumor mutational burden, irrespective of PD-L1 expression level. The results
validate the benefit of nivolumab plus ipilimumab in NSCLC and the role of tumor 
mutational burden as a biomarker for patient selection. (Funded by Bristol-Myers 
Squibb and Ono Pharmaceut",RCT,,,,nivolumab plus ipilimumab,nivolumab monotherapy,chemotherapy,,stage IV or recurrent NSCLC (non-small cell lung cancer),Progression-free survival,

Feasibility Study of Sequentially Alternating EGFR-TKIs and Chemotherapy for Patients with Non-small Cell Lung Cancer.,/pubmed/29599365,"BACKGROUND/AIM: The purpose of this trial was to evaluate the feasibility and
efficacy of alternating platinum-based doublet chemotherapy with epidermal growth
factor receptor tyrosine kinase inhibitors (EGFR-TKIs) in patients with
EGFR-mutant non-small cell lung cancer (NSCLC).
PATIENTS AND METHODS: Chemotherapy-naive patients with advanced NSCLC harboring
an EGFR mutation were enrolled. All patients underwent induction chemotherapy by 
sequentially alternating pemetrexed/cisplatin/bevacizumab and EGFR-TKIs followed 
by maintenance therapy with pemetrexed/bevacizumab and EGFR-TKIs. The primary
outcome was the completion rate of the induction therapy.
RESULTS: Eighteen eligible patients were enrolled between May 2011 and March
2016. The completion rate of induction therapy was 72.2% (13/18). Unfortunately, 
one patient developed grade 4 acute renal injury, but no other serious
complications concerning this protocol were observed. Furthermore, diarrhea,
rashes, and hematological adverse effects were mild.
CONCLUSION: The completion rate of induction therapy was promising. Alternating
chemotherapy and EGFR-TKIs should be further investigated regarding feasibility
and efficacy.",N,,,,,,,,,,

Expression of Estrogen Receptor-‘± and Survival in Advanced-stage Non-small Cell Lung Cancer.,/pubmed/29599348,"BACKGROUND/AIM: The favorable prognosis of women with non-small-cell lung cancer 
(NSCLC) compared to men might be explained by sex hormone-related mechanisms. We 
investigated whether this observation could be explained by the expression of
estrogen receptor-alpha (ER-_) in tumor tissue.
MATERIALS AND METHODS: Archived, formalin fixed, paraffin embedded tumor tissue
samples were retrospectively analyzed for nuclear expression of ER-_ with
immunohistochemistry.
RESULTS: Biopsies from 222 patients were analyzed. Twenty-three percent were ER-_
positive. Fifty-four percent of the patients were men and 46% of the tumors were 
adenocarcinomas. One hundred-nine (49%) patients received pemetrexed and
carboplatin and 113 (51%) received gemcitabine and carboplatin. Females with ER-_
positive tumors who received PC had a substantial survival benefit over all other
groups (20 vs. 4.6 months; p=0.003).
CONCLUSION: ER-_ is an independent prognostic factor in advanced NSCLC and might 
also be a predictive factor for response to pemetrexed/carboplatin in women.",N,,,,,,,,,,

Sterilized talc pleurodesis for malignant pleural effusions: a Phase II study for investigational new drug application in Japan.,/pubmed/29528450,"Background: Malignant pleural effusion is a commonly seen complication of
malignancies such as lung and breast cancers. In Western countries, talc is
frequently used as a standard therapeutic agent (pleurodesis agent) with the aim 
of alleviating symptoms including dyspnea and chest pain. Talc is not recognized 
as a pleurodesis agent in Japan. The aim of this study was to verify the efficacy
and safety of sterilized talc (NPC-05) for the introduction of talc in Japan.
Methods: The study was a single-arm, open-label, investigator-initiated trial
conducted jointly at six institutions. The subjects were 30 patients with
malignant pleural effusions. A solution of 4 g NPC-05 suspended in 50 ml
physiological saline was instilled into the pleural space to perform pleurodesis.
Results: The efficacy of NPC-05 for pleural adhesion 30 days after pleurodesis
was 83.3% (25/30 cases). Amelioration of dyspnea and pain (chest pain) was seen. 
Commonly seen adverse effects were increased C-reactive protein (CRP) and fever. 
Nearly all adverse events were phenomena previously reported as adverse effects
of talc. No acute respiratory distress syndrome (ARDS) or other serious side
effects occurred.
Conclusion: The efficacy and safety of NPC-05 for malignant pleural effusion in
Japanese patients was verified, and the clinical outcomes with talc were
confirmed to be the same as previously reported in other countries. There is
thought to be a high level of need for this agent in the treatment of malignant
pleural effusion in Japan.",N,,,,,,,,,,

Phase 1 study of ombrabulin in combination with docetaxel and cisplatin in Japanese patients with advanced solid tumors.,/pubmed/29514256,"Background: The combination use of the vascular disrupting agent ombrabulin with 
chemotherapeutic agents was previously shown to be highly synergistic in
preclinical models.
Methods: In this dose-escalation study of ombrabulin (15.5-35 mg/m2) in
combination with docetaxel (60 or 75 mg/m2) and cisplatin (75 mg/m2), agents were
administered 24 h apart every 3 weeks to Japanese patients with advanced solid
tumors. The study was designed and conducted in a 3 + 3 manner. Safety, tumor
response and pharmacokinetics were evaluated.
Results: Eleven patients with non small cell lung cancer as the primary tumor
were treated. Two patients out of five had dose limiting toxicities (DLTs) in
Cycle 1 at the starting doses of ombrabulin 15.5 mg/m2, docetaxel 60 mg/m2 and
cisplatin 75 mg/m2. Thus, dose escalation was terminated. The first dose level
was re-evaluated in six patients who received prophylactic granulocyte-colony
stimulating factor (G-CSF). However, because of the occurrence of DLTs in Cycle 1
in two patients out of six, the study was led to the premature termination
without pursued upper dose level. Partial response was observed in four patients 
out of 11. Pharmacokinetic parameters of ombrabulin and cisplatin were not
altered in this combination treatment, while docetaxel clearance decreased by
~40% compared to that observed with docetaxel monotherapy at the same dose (60
mg/m2).
Conclusion: A combination regimen of ombrabulin with cisplatin and docetaxel was 
not feasible for Japanese patients owing to the occurrence of hematological and
non-hematological DLTs at the initial dose level.
Clinical trial registration ID: ClinicalTrials.gov number, NCT01095302.",N,,,,,,,,,,

The effects of one-lung ventilation mode on lung function in elderly patients undergoing esophageal cancer surgery.,/pubmed/29505522,"The objective of the present study was to explore the effects of different
one-lung ventilation (OLV) modes on lung function in elderly patients undergoing 
esophageal cancer surgery. A total of 180 consecutive elderly patients (ASA
Grades I-II, with OLV indications) undergoing elective surgery were recruited in 
the study. Patients were randomly divided into 4 groups (n_=_45). In Group A,
patients received low tidal volume (VT < 8_mL/kg)_+_pressure controlled
ventilation (PCV), low tidal volume (VT < 8_mL/kg)_+_volume-controlled
ventilation (VCV) in Group B, high tidal volume (VT _ 8_mL/kg)_+_PCV in Group C
and high tidal volume (VT _ 8_mL/kg)_+_VCV in Group D. Two-lung ventilation
involved routine tidal volume (8-10_mL/kg) at a frequency of 12 to 18_times/min, 
and VCV mode. Clinical efficacy among 4 groups was compared. The partial pressure
of end-tidal carbon dioxide (PetCO2) did not significantly differ among 4 groups 
(all P_>_.05), and the oxygenation index and SO2 in Group A were significantly
higher than in the other groups (P_<_.05). The PetCO2, peak airway pressure
(Ppeak), platform airway pressure (Pplat), and mean airway pressure (Pmean) in
Group A were significantly lower than those in the other groups (all P_<_.05).
However, airway resistance (Raw) among 4 groups did not significantly differ (all
P_>_.05). The incidence of pulmonary infection, anastomotic fistula,
ventilator-induced lung injury, lung dysfunction, difficulty weaning from
mechanical ventilation, and multiple organ dysfunction in Groups A and B were
lower than that in Groups C and D (all P_<_.05). The expression levels of IL-6,
tumor necrosis factor-_, and C-reactive protein in lavage fluid in Group A were
significantly lower than those in the other groups (all P_<_.05). OLV with low
tidal volume (VT < 8_mL/kg)_+_PCV (5_cmH2O PEEP) improved lung function and
mitigated inflammatory responses in elderly patients undergoing esophageal cancer
surgery.",RCT,,,,low tidal volume (VT < 8_mL/kg)_+_pressure controlled ventilation (PCV),low tidal volume (VT < 8_mL/kg)_+_volume-controlled ventilation (VCV),high tidal volume (VT _ 8_mL/kg)_+_PCV,high tidal volume (VT _ 8_mL/kg)_+_VCV,esophageal cancer,artial pressure of end-tidal carbon dioxide,

[A randomized controlled study of erlotinib versus pemetrexed combined with cisplatin in neoadjuvant therapy of stage _ƒ¢A EGFR-mutant lung adenocarcinoma].,/pubmed/29502374,"Objective: To evaluate the feasibility, efficacy and safety of epidermal growth
factor receptor-tyrosine kinase inhibitors(EGFR-TKIs) for neoadjuvant therapy.
Methods: Eighty-six patients with stage _A EGFR-mutant lung adenocarcinoma were
assigned to 2 groups (n=43 in each group) according to the random number table
method: neoadjuvant targeted therapy group (single oral dose of erlotinib 150 mg 
per day, for 9 weeks) and neoadjuvant chemotherapy group (2 cycles of pemetrexed 
combined with cisplatin chemotherapy followed by 3- week discontinuation).
Surgical treatment was underwent after imaging efficacy evaluation. Results: In
neoadjuvant targeted therapy group, 4 achieved complete response (CR), 25
achieved partial response (PR), giving an objective response rate (ORR) of 67.4%.
In pathological response, 8 patients had grade _, 20 patients had grade _, giving
a pathological response rate of 65.1%. The most frequent adverse events (AEs)
were rash and diarrhea. In neoadjuvant chemotherapy group, 2 had CR and 17 had
PR, giving an ORR of 44.2%. In pathological response, 3 patients had grade _, 15 
patients had grade _, giving a pathological response rate of 41.9%. The main AEs 
were hematologic toxic effects. The ORR, histological efficacy and hematologic
toxicity showed statistical significance between the two groups (P<0.05). The
neoadjuvant targeted therapy group had 90.7% resection rate, (299.8±23.4) ml of
hemorrhage volume during operation, (5.2±0.4) days of extubation time and 9.3%
postoperative complication rate. Corresponding results were 83.7%, (308.9±22.7)
ml, (5.4±0.6) days and 11.6% in neoadjuvant chemotherapy group, which showed no
statistical significance (P>0.05). Conclusions: Neoadjuvant targeted treatment
for stage _A lung adenocarcinoma harboring EGFR mutations. The regimen could be
considered as a choice of neoadjuvant treatment for patients with stage _A
EGFR-mutant lung adenocarcinoma.",RCT,,,,erlotinib,pemetrexed combined with cisplatin,,,EGFR-mutant lung adenocarcinoma,complete response,

Phase 3 study of ceritinib vs chemotherapy in ALK-rearranged NSCLC patients previously treated with chemotherapy and crizotinib (ASCEND-5): Japanese subset.,/pubmed/29474558,"Background: In the global, Phase 3, ASCEND-5 study, ceritinib improved
progression-free survival (PFS) vs chemotherapy in patients with anaplastic
lymphoma kinase (ALK)-rearranged non-small cell lung cancer (NSCLC) who had
previously progressed on crizotinib and platinum-based chemotherapy. Here, we
report efficacy and safety in a subset of Japanese patients from the ASCEND-5
study.
Methods: Patients with advanced ALK-rearranged NSCLC received oral ceritinib 750 
mg/day or chemotherapy (intravenous pemetrexed 500 mg/m2 or docetaxel 75 mg/m2
[investigator's choice], every 21 days).
Results: Among the 231 patients, 29 were Japanese, of which, 11 were treated with
ceritinib and 18 were treated with chemotherapy (5 with pemetrexed and 13 with
docetaxel). All the patients received prior crizotinib and one or two lines of
prior chemotherapy for advanced disease. Median follow-up time was 16.6 months
for ceritinib arm and 16.4 months for chemotherapy arm in the overall population.
The median PFS by blinded independent review committee was 9.8 months (95% CI,
4.3-14.0) in ceritinib arm vs 1.6 months (95% CI, 1.4-3.0) in chemotherapy arm.
Grade 3 or 4 adverse events, suspected to be study drug related, were reported in
36.4% of ceritinib arm and 72.2% of chemotherapy arm, respectively. No Grade 3 or
4 events of diarrhea, nausea and vomiting were reported in both the treatment
arms. Adverse events leading to study drug discontinuation were reported in one
patient in each arm: Grade 3 central-nervous system metastases in
ceritinib-treated patient and Grade 3 febrile neutropenia in chemotherapy-treated
patient.
Conclusions: Consistent with overall population, ceritinib demonstrated better
efficacy compared with the standard second-line chemotherapy in Japanese patients
with crizotinib-resistant ALK+ NSCLC.
ClinicalTrials.gov identifier: NCT01828112.",RCT,,,,ceritinib,chemotherapy,,,anaplastic lymphoma kinase (ALK)-rearranged non-small cell lung cancer,progression-free survival,

"Credentialing of radiotherapy centres in Australasia for TROG 09.02 (Chisel), a Phase III clinical trial on stereotactic ablative body radiotherapy of early stage lung cancer.",/pubmed/29446317,"OBJECTIVE: A randomised clinical trial comparing stereotactic ablative body
radiotherapy (SABR) with conventional radiotherapy for early stage lung cancer
has been conducted in Australia and New Zealand under the auspices of the
TransTasman Radiation Oncology Group (NCT01014130). We report on the technical
credentialing program as prerequisite for centres joining the trial.
METHODS: Participating centres were asked to develop treatment plans for two test
cases to assess their ability to create plans according to protocol. Dose
delivery in the presence of inhomogeneity and motion was assessed during a site
visit using a phantom with moving inserts.
RESULTS: Site visits for the trial were conducted in 16 Australian and 3 New
Zealand radiotherapy facilities. The tests with low density inhomogeneities
confirmed shortcomings of the AAA algorithm for dose calculation. Dose was
assessed for a typical treatment delivery including at least one non-coplanar
beam in a stationary and moving phantom. This end-to-end test confirmed that all 
participating centres were able to deliver stereotactic ablative body
radiotherapy with the required accuracy while the planning study demonstrated
that they were able to produce acceptable plans for both test cases.
CONCLUSION: The credentialing process documented that participating centres were 
able to deliver dose as required in the trial protocol. It also gave an
opportunity to provide education about the trial and discuss technical issues
such as four-dimensional¾CT, small field dosimetry and patient immobilisation
with staff in participating centres. Advances in knowledge: Credentialing is an
important quality assurance tool for radiotherapy trials using advanced
technology. In addition to confirming technical competence, it provides an
opportunity for education and discussion about the trial.",N,,,,,,,,,,

A Phase II Study of Irinotecan for Patients with Previously Treated Small-Cell Lung Cancer.,/pubmed/29444512,"OBJECTIVE: Chemotherapy with irinotecan plus cisplatin has shown promise in
chemo-na´ve small-cell lung cancer (SCLC) patients. However, irinotecan treatment
for relapsed or refractory SCLC has not been adequately evaluated. This phase II 
study evaluated the appropriate treatment schedule of irinotecan as a single
agent. This study was designed to determine the antitumor activity, toxicity, and
survival in previously treated SCLC patients.
METHODS: Previously treated SCLC patients with at least one platinum-based
regimen received irinotecan (100 mg/m2) on days 1 and 8, every 3 weeks, until
disease progression. The assessment of the response rate was the primary
endpoint.
RESULTS: Thirty patients were enrolled, with an objective response rate of 41.3% 
(95% confidence interval [CI] 25.5-59.3), and a disease control rate of 69%.
Median progression-free and overall survival was 4.1 months (95% CI, 2.2-5.4) and
10.4 months (95% CI, 8.1-14), respectively. The grade 3/4 hematological
toxicities were neutropenia (36.7%), thrombocytopenia (3.3%), anemia (13.3%), and
